date,side,start_balance,lot,mode,result,pnl_eur,end_balance
2026-01-02,LONG,300.0,0.01,FULL_001_FALLBACK_TP25,SL20,-20.0,280.0
2026-01-08,SHORT,280.0,0.01,FULL_001_FALLBACK_TP25,SL20,-20.0,260.0
2026-01-09,LONG,260.0,0.01,FULL_001_FALLBACK_TP25,TP25,25.0,285.0
2026-01-16,SHORT,285.0,0.01,FULL_001_FALLBACK_TP25,SL20,-20.0,265.0
2026-01-22,LONG,265.0,0.01,FULL_001_FALLBACK_TP25,SL20,-20.0,245.0
2026-01-23,SHORT,245.0,0.01,FULL_001_FALLBACK_TP25,TP25,25.0,270.0
2026-01-30,SHORT,270.0,0.01,FULL_001_FALLBACK_TP25,SL20,-20.0,250.0
2026-02-06,LONG,250.0,0.01,FULL_001_FALLBACK_TP25,TP25,25.0,275.0
2026-02-19,LONG,275.0,0.01,FULL_001_FALLBACK_TP25,SL20,-20.0,255.0
2026-02-20,LONG,255.0,0.01,FULL_001_FALLBACK_TP25,SL20,-20.0,235.0
2026-02-27,LONG,235.0,0.01,FULL_001_FALLBACK_TP25,TP25,25.0,260.0
2026-03-05,SHORT,260.0,0.01,FULL_001_FALLBACK_TP25,TP25,25.0,285.0
2026-03-06,SHORT,285.0,0.01,FULL_001_FALLBACK_TP25,SL20,-20.0,265.0
2026-03-12,LONG,265.0,0.01,FULL_001_FALLBACK_TP25,SL20,-20.0,245.0
2026-03-13,SHORT,245.0,0.01,FULL_001_FALLBACK_TP25,SL20,-20.0,225.0
2026-03-19,SHORT,225.0,0.01,FULL_001_FALLBACK_TP25,TP25,25.0,250.0
2026-03-20,SHORT,250.0,0.01,FULL_001_FALLBACK_TP25,TP25,25.0,275.0
2026-03-26,SHORT,275.0,0.01,FULL_001_FALLBACK_TP25,SL20,-20.0,255.0
2026-04-09,LONG,255.0,0.01,FULL_001_FALLBACK_TP25,TP25,25.0,280.0
2026-04-10,SHORT,280.0,0.01,FULL_001_FALLBACK_TP25,SL20,-20.0,260.0
2026-04-17,LONG,260.0,0.01,FULL_001_FALLBACK_TP25,TP25,25.0,285.0
2026-04-23,SHORT,285.0,0.01,FULL_001_FALLBACK_TP25,SL20,-20.0,265.0
2026-04-24,LONG,265.0,0.01,FULL_001_FALLBACK_TP25,SL20,-20.0,245.0
2026-04-30,LONG,245.0,0.01,FULL_001_FALLBACK_TP25,TP25,25.0,270.0
2026-05-01,SHORT,270.0,0.01,FULL_001_FALLBACK_TP25,TP25,25.0,295.0
2026-05-07,LONG,295.0,0.01,FULL_001_FALLBACK_TP25,TIME +21.55,21.55,316.55
2026-05-14,LONG,316.55,0.01,FULL_001_FALLBACK_TP25,SL20,-20.0,296.55
2026-05-15,SHORT,296.55,0.01,FULL_001_FALLBACK_TP25,TP25,25.0,321.55
2026-05-21,SHORT,321.55,0.01,FULL_001_FALLBACK_TP25,SL20,-20.0,301.55
2026-05-29,LONG,301.55,0.01,FULL_001_FALLBACK_TP25,TP25,25.0,326.55
2026-06-04,LONG,326.55,0.01,FULL_001_FALLBACK_TP25,TP25,25.0,351.55
2026-06-05,SHORT,351.55,0.01,FULL_001_FALLBACK_TP25,TP25,25.0,376.55
2026-06-18,SHORT,376.55,0.01,FULL_001_FALLBACK_TP25,SL20,-20.0,356.55
2026-06-26,LONG,356.55,0.01,FULL_001_FALLBACK_TP25,TP25,25.0,381.55
2026-07-02,LONG,381.55,0.01,FULL_001_FALLBACK_TP25,TP25,25.0,406.55
2026-07-09,LONG,406.55,0.02,SPLIT_50_50,TP4(0.01) + TP25(0.01),29.0,435.55
2026-07-10,SHORT,435.55,0.02,SPLIT_50_50,TP4(0.01) + TP25(0.01),29.0,464.55
2026-07-16,SHORT,464.55,0.02,SPLIT_50_50,SL20 full,-40.0,424.55
2026-07-17,SHORT,424.55,0.02,SPLIT_50_50,TP4(0.01) + SL20(0.01),-16.0,408.55
2026-07-23,SHORT,408.55,0.02,SPLIT_50_50,TP4(0.01) + TP25(0.01),29.0,437.55
2026-07-24,LONG,437.55,0.02,SPLIT_50_50,TP4(0.01) + TP25(0.01),29.0,466.55
2026-07-31,SHORT,466.55,0.02,SPLIT_50_50,TP4(0.01) + TP25(0.01),29.0,495.55
2026-08-07,LONG,495.55,0.02,SPLIT_50_50,TP4(0.01) + TP25(0.01),29.0,524.55
2026-08-13,SHORT,524.55,0.02,SPLIT_50_50,TP4(0.01) + SL20(0.01),-16.0,508.55
2026-08-14,LONG,508.55,0.02,SPLIT_50_50,TP4(0.01) + TP25(0.01),29.0,537.55
2026-08-20,SHORT,537.55,0.02,SPLIT_50_50,TP4(0.01) + TP25(0.01),29.0,566.55
